DateTime;Condition;Rain;MaxTemp;MinTemp;AvgWind;AvgHumidity;AvgPressure
02.09.2019;Partly cloudy;0.0;27;22;23;66;1012
01.09.2019;Partly cloudy;0.0;27;22;21;66;1011
31.08.2019;Patchy rain possible;0.5;26;22;22;63;1015
30.08.2019;Partly cloudy;0.0;27;22;20;64;1016
29.08.2019;Partly cloudy;0.0;27;23;24;61;1015
28.08.2019;Sunny;0.0;28;24;27;58;1016
27.08.2019;Partly cloudy;0.0;30;24;27;61;1016
26.08.2019;Sunny;0.0;30;24;25;66;1015
25.08.2019;Partly cloudy;0.0;30;24;20;69;1015
24.08.2019;Partly cloudy;0.0;30;24;19;71;1017
23.08.2019;Partly cloudy;0.0;28;24;20;74;1016
22.08.2019;Partly cloudy;0.0;29;24;17;71;1016
21.08.2019;Patchy rain possible;0.5;28;21;15;70;1016
20.08.2019;Partly cloudy;0.0;27;22;20;65;1017
19.08.2019;Partly cloudy;0.0;26;22;18;61;1016
18.08.2019;Patchy rain possible;0.8;26;21;13;58;1015
17.08.2019;Torrential rain shower;15.7;25;18;19;72;1013
16.08.2019;Patchy rain possible;1.2;26;23;19;73;1011
15.08.2019;Cloudy;0.2;27;24;15;75;1007
14.08.2019;Partly cloudy;0.0;29;24;17;72;1007
13.08.2019;Sunny;0.0;29;24;28;61;1010
12.08.2019;Sunny;0.0;29;24;30;55;1013
11.08.2019;Sunny;0.0;28;23;26;63;1015
10.08.2019;Partly cloudy;0.0;30;23;20;59;1013
09.08.2019;Sunny;0.0;29;23;20;61;1011
08.08.2019;Sunny;0.0;29;23;19;59;1013
07.08.2019;Sunny;0.0;28;22;22;59;1015
06.08.2019;Sunny;0.0;27;23;20;51;1015
05.08.2019;Partly cloudy;0.0;27;23;18;52;1013
04.08.2019;Partly cloudy;0.0;26;23;18;62;1008
03.08.2019;Partly cloudy;0.2;33;26;8;56;1007
02.08.2019;Partly cloudy;2.6;29;25;16;62;1010
01.08.2019;Partly cloudy;0.0;31;25;16;58;1009
31.07.2019;Partly cloudy;0.0;31;25;8;58;1008
30.07.2019;Partly cloudy;0.0;29;24;10;69;1005
